repo,latest_version,pre_release_tag
ci-management,,
developer-scripts,,
docker-edgex-mongo,1.2.1-dev.1,v0.0.1-dev.8
docker-edgex-mongo,1.2.1-dev.1,v0.0.1-dev.7
docker-edgex-mongo,1.2.1-dev.1,v0.0.1-dev.6
docker-edgex-mongo,1.2.1-dev.1,v0.0.1-dev.5
docker-edgex-mongo,1.2.1-dev.1,v0.0.1-dev.4
docker-edgex-mongo,1.2.1-dev.1,v0.0.1-dev.3
docker-edgex-mongo,1.2.1-dev.1,v0.0.1-dev.2
docker-edgex-mongo,1.2.1-dev.1,v0.0.1-dev.1
docker-edgex-volume,1.2.0,v1.2.0-dev.2
docker-edgex-volume,1.2.0,v1.2.0-dev.1
blackbox-testing,,
edgex-go,,
jenkins_pipeline_presentation,,
device-sdk-go,1.2.3-dev.3,v1.2.2-dev.3
device-sdk-go,1.2.3-dev.3,v1.2.2-dev.2
device-sdk-go,1.2.3-dev.3,v1.2.2-dev.1
device-sdk-go,1.2.3-dev.3,v1.2.1-dev.5
device-sdk-go,1.2.3-dev.3,v1.2.1-dev.4
device-sdk-go,1.2.3-dev.3,v1.2.1-dev.3
device-sdk-go,1.2.3-dev.3,v1.2.1-dev.2
device-sdk-go,1.2.3-dev.3,v1.2.1-dev.1
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.36
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.35
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.34
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.33
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.32
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.31
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.30
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.29
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.28
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.27
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.26
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.25
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.24
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.23
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.22
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.21
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.20
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.19
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.18
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.17
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.16
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.15
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.14
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.13
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.12
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.11
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.10
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.9
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.8
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.7
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.6
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.5
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.4
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.3
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.2
device-sdk-go,1.2.3-dev.3,v1.2.0-dev.1
device-sdk-go,1.2.3-dev.3,v1.1.2-dev.2
device-sdk-go,1.2.3-dev.3,v1.1.2-dev.1
device-sdk-c,1.2.2-dev.8,v1.2.1-dev.3
device-sdk-c,1.2.2-dev.8,v1.2.1-dev.2
device-sdk-c,1.2.2-dev.8,v1.2.1-dev.1
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.18
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.17
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.16
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.15
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.14
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.13
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.12
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.11
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.10
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.9
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.8
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.7
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.6
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.5
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.4
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.3
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.2
device-sdk-c,1.2.2-dev.8,v1.2.0-dev.1
device-sdk-c,1.2.2-dev.8,v1.1.1-dev.2
device-sdk-c,1.2.2-dev.8,v1.1.1-dev.1
edgex-ui-go,1.2.2-dev.4,v1.2.1-dev.8
edgex-ui-go,1.2.2-dev.4,v1.2.1-dev.7
edgex-ui-go,1.2.2-dev.4,v1.2.1-dev.6
edgex-ui-go,1.2.2-dev.4,v1.2.1-dev.5
edgex-ui-go,1.2.2-dev.4,v1.2.1-dev.4
edgex-ui-go,1.2.2-dev.4,v1.2.1-dev.3
edgex-ui-go,1.2.2-dev.4,v1.2.1-dev.2
edgex-ui-go,1.2.2-dev.4,v1.2.1-dev.1
